vcp=अंश,4 skd=अंश,5
vcp=गर्द्द,17177 skd=गर्द्द,10670
vcp=गर्द्ध,17187 skd=गर्द्ध,10681
vcp=गर्ब,17190;गर्ब,17191 skd=गर्ब्ब,10684;गर्ब्ब,10685 (*)
vcp=गर्व,17248 skd=गर्व्व,10717 (*)
vcp=गर्ह,17252;गर्ह,17253 skd=गर्ह,10721;गर्ह,10722
vcp=गल,17257;गल,17258 skd=गल,10728;गल,10729
vcp=गल्भ,17289 skd=गल्भ,10748
vcp=गल्ह,17295 skd=गल्ह,10753
vcp=गवेष,17331 skd=गवेष,10774
vcp=गह,17345 skd=गह,10783
vcp=गा,17350;गा,17351 skd=गा,10790;गा,10791
vcp=गात्र,17384 skd=गात्र,10815
vcp=गाध,17403 skd=गाध,10825
vcp=गाह,17476 skd=गाह,10876
vcp=गु,17575;गु,17576 skd=गु,10935;गु,10936
vcp=गुज,17593;गुज,17594;गुज,17595 skd=गुज,10957;गुज,10958;गुज,10959
vcp=गुठ,17603 skd=गुठ,10968
vcp=गुड,17604;गुड,17605 skd=गुड,10969;गुड,10970
vcp=गुण,17642 skd=गुण,10999
vcp=गुद,17702 skd=गुद,11038
vcp=गुद्र,17714 skd=गुद्र,11045
vcp=गुध,17715;गुध,17716;गुध,17717 skd=गुध,11046;गुध,11047;गुध,11048
vcp=गुन्फ,17723 skd=गुन्फ,11055
vcp=गुप,17724;गुप,17725;गुप,17726;गुप,17727 skd=गुप,11056;गुप,11057;गुप,11058;गुप,11059
vcp=गुफ,17735 skd=गुफ,11067
vcp=गुम्फ,17737 skd=?
vcp=गुर,17741;गुर,17742 skd=गुर,11071;गुर,11072
vcp=गुर्द्द,17774;गुर्द्द,17775 skd=गुर्द्द,11091;गुर्द्द,11092
vcp=गुर्व,17776 skd=गुर्व्व,11093 (*)
vcp=गुह,17798 skd=गुह,11113
vcp=गू,17822 skd=गू,11131
vcp=गूर,17848;गूर,17849 skd=गूर,11155;गूर,11156
vcp=गूर्द्द,17852 skd=गूर्द्द,11158;गूर्द्द,11159
vcp=गृ,17855 skd=गृ,11162
vcp=गृज,17856;गृज,17857 skd=गृज,11163;गृज,11164
vcp=गृध,17866 skd=गृध,11169
vcp=गृह,17886 skd=गृह,11181
vcp=गॄ,17961;गॄ,17962;गॄ,17963 skd=गॄ,11233;गॄ,11234;गॄ,11235
vcp=गेद,17964 skd=गेद,11239
vcp=गेव,17967 skd=गेव,11243
vcp=गेष,17968 skd=गेष,11244
vcp=गै,17977 skd=गै,11251
vcp=गोधा,18064 skd=?
vcp=गोम,18160 skd=गोम,11382
vcp=गोष्ट,18281 skd=गोष्ट,11461
vcp=ग्रथ,18421 skd=ग्रथ,11537
vcp=ग्रन्थ,18426 skd=ग्रन्थ,11539
vcp=ग्रस,18451;ग्रस,18452 skd=ग्रस,11566;ग्रस,11567
vcp=ग्रह,18461;ग्रह,18462 skd=ग्रह,11569;ग्रह,11570
vcp=ग्रुच,18604 skd=ग्रुच,11648
vcp=ग्लस,18613 skd=ग्लस,11653
vcp=ग्लह,18615 skd=ग्लह,11655
vcp=ग्लुच,18622 skd=ग्लुच,11661
vcp=ग्लुन्च,18624 skd=ग्लुञ्च,11662 (*)
vcp=ग्लेप,18625 skd=ग्लेप,11663
vcp=ग्लेव,18626 skd=ग्लेव,11665
vcp=ग्लेष,18627 skd=ग्लेष,11666
vcp=ग्लै,18628 skd=ग्लै,11667
vcp=घग्घ,18633 skd=घग्घ,11671
vcp=घट,18634;घट,18635;घट,18637 skd=घट,11672;घट,11673;घट,11674
vcp=घट्ट,18673;घट्ट,18674 skd=घट्ट,11691;घट्ट,11692
vcp=घण,18681 skd=घण,11697
vcp=घम्ब,18743 skd=घम्ब,11751
vcp=घर्ब,18751 skd=घर्ब्ब,11759 (*)
vcp=घष,18767 skd=घष,11768
vcp=घस,18768 skd=घस,11769;घस,11770
vcp=घिण्ण,18794 skd=घिण,11792 (*)
vcp=घु,18795 skd=घु,11793
vcp=घुट,18797;घुट,18798 skd=घुट,11795;घुट,11796
vcp=घुड,18802 skd=घुड,11802
vcp=घुण,18803;घुण,18804;घुण,18805 skd=घुण,11803;घुण,11804;घुण,11805
vcp=घुर,18815 skd=घुर,11812
vcp=घुष,18824;घुष,18825;घुष,18826 skd=घुष,11817;घुष,11818;घुष,11819
vcp=घूर,18835 skd=घूर,11826
vcp=घूर्ण्ण,18836 skd=घूर्ण,11827 (*)
vcp=घृ,18843;घृ,18844;घृ,18845 skd=घृ,11834;घृ,11835;घृ,11836
vcp=घृण,18847;घृण,18848 skd=घृण,11838
vcp=घृष,18901 skd=घृष,11861
vcp=घ्रा,18943 skd=घ्रा,11892
vcp=ङु,18952 skd=ङु,11900
vcp=चक,18956;चक,18957 skd=चक,11904;चक,11905
vcp=चकास,18958 skd=चकास,11906
vcp=चक्क,18961 skd=चक्क,11910
vcp=चक्ष,19053 skd=चक्ष,11975
vcp=चघ,19069 skd=चघ,11985
vcp=चट,19090;चट,19091 skd=चट,12007;चट,12008
vcp=चड,19101;चड,19102 skd=चड,12021;चड,12022
vcp=चण,19103;चण,19104;चण,19105 skd=चण,12023;चण,12024;चण,12025
vcp=चत,19145 skd=चत,12055
vcp=चद,19253;चद,19254 skd=चद,12112;चद,12113
vcp=चन,19256;चन,19257 skd=चन,12115;चन,12116
vcp=? skd=चन्च,12118
vcp=चप,19366;चप,19367;चप,19368 skd=चप,12195;चप,12196
vcp=चम,19377;चम,19378 skd=चम,12204;चम,12205
vcp=चम्ब,19411 skd=चम्ब,12234
vcp=चय,19413 skd=चय,12235
vcp=चर,19416;चर,19417 skd=चर,12237;चर,12238
vcp=चर्च,19449;चर्च,19450 skd=चर्च्च,12262;चर्च्च,12263 (*)
vcp=चर्ब,19460 skd=चर्ब्ब,12273 (*)
vcp=चर्व,19507 skd=चर्व्व,12309 (*)
vcp=चल,19514;चल,19515;चल,19516 skd=चल,12316;चल,12317;चल,12318
vcp=चष,19542;चष,19543 skd=चष,12346;चष,12347
vcp=चह,19547;चह,19548;चह,19549 skd=चह,12351;चह,12352;चह,12353
vcp=चाय,19640 skd=चाय,12419
vcp=चि,19697;चि,19698;चि,19699 skd=चि,12461;चि,12462;चि,12463
vcp=चिक्क,19715 skd=चिक्क,12477
vcp=चिट,19734;चिट,19735 skd=चिट,12494;चिट,12495
vcp=चित,19737;चित,19738;चित,19739 skd=चित,12496;चित,12497;चित,12498
vcp=चित्र,19770 skd=चित्र,12516
vcp=चिरि,19926 skd=चिरि,12632
vcp=चिल,19935 skd=चिल,12641
vcp=चिल्ल,19939 skd=चिल्ल,12644
vcp=चिह्न,19954 skd=चिह्न,12656
vcp=चीक,19960 skd=चीक,12661
vcp=चीभ,19971 skd=चीभ,12672
